Barrier Name,N,Seed,Completion Time (s),Negative Iterations,Circle Time (%),Ellipse Time (%),Triangle Time (%),Square Time (%)
delta(circular-elliptical),8,5,21.384,0,0.0,0.0,0.0,0.0
delta(circular-elliptical),11,1,20.295,0,0.0,0.0,0.0,0.0
delta(circular-elliptical),11,2,25.839000000000002,0,0.0,0.0,0.0,0.0
delta(circular-elliptical),11,3,16.896,0,0.0,0.0,0.0,0.0
delta(circular-elliptical),11,4,16.896,0,0.0,0.0,0.0,0.0
delta(circular-elliptical),11,5,20.295,0,0.0,0.0,0.0,0.0
delta(circular-elliptical),16,1,24.849,0,0.0,0.0,0.0,0.0
delta(circular-elliptical),16,2,30.954,0,0.0,0.0,0.0,0.0
delta(circular-elliptical),16,3,24.75,0,0.0,0.0,0.0,0.0
delta(circular-elliptical),16,4,25.806,0,0.0,0.0,0.0,0.0
delta(circular-elliptical),16,5,30.228,0,0.0,0.0,0.0,0.0
delta(circular-elliptical),20,1,25.113,45,0.0,0.0,0.0,0.0
delta(circular-elliptical),20,2,72.072,12,0.0,0.0,0.0,0.0
delta(circular-elliptical),20,3,44.649,0,0.0,0.0,0.0,0.0
delta(circular-elliptical),20,4,40.128,0,0.0,0.0,0.0,0.0
delta(circular-elliptical),20,5,46.728,0,0.0,0.0,0.0,0.0
delta(circular-square),4,1,11.253,0,0.08651026392961877,0.17595307917888564,0.0,0.0
delta(circular-square),4,2,19.107,0,0.0,0.0,0.0,0.0
delta(circular-square),4,3,36.069,0,0.0,0.0,0.0,0.0
delta(circular-square),4,4,19.668,0,0.0,0.0,0.0,0.0
delta(circular-square),4,5,39.633,0,0.0,0.0,0.0,0.0
delta(circular-square),8,1,20.922,0,0.0,0.0,0.0,0.0
delta(circular-square),8,2,22.275000000000002,0,0.0,0.0,0.0,0.0
delta(circular-square),8,3,22.671,0,0.0,0.0,0.0,0.0
delta(circular-square),8,4,18.282,0,0.0,0.0,0.0,0.0
delta(circular-square),8,5,21.384,0,0.0,0.0,0.0,0.0
delta(circular-square),11,1,20.295,0,0.0,0.0,0.0,0.0
